bank_id,bank_vendor,bank_amount,bank_date,matched_invoice,confidence,margin,exception_type,severity,reason,recommended_action,ai_recommendation,ai_used
BANK-T0004,HDFC Bank,4731.54,2026-07-26,INV-T0004,60.0,3.75,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 41967.27.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0008,Axis,75842.93,2026-07-11,INV-T0008,82.69,29.69,VENDOR_MISMATCH,LOW,"Exact match on amount (75,842.93) and transaction date (2026-07-11). The discrepancy is due solely to a minor vendor naming variation ('Axis' vs 'Axis Bank').",Approve the reconciliation match and map 'Axis' as a recognized alias for 'Axis Bank' in the vendor master database.,APPROVE,True
BANK-T0013,IBM,47064.02,2026-07-17,INV-T0013,84.0,3.75,AMOUNT_MISMATCH,MEDIUM,"The bank transaction amount ($47,064.02) exceeds the candidate invoice amount ($44,984.68) by $2,079.34, despite identical dates and vendors. The confidence margin over the second-best candidate is also low (3.75).","Check for additional unlinked invoices for IBM, check for late payment penalties/fees, or verify if an overpayment occurred before manually reconciling.",REVIEW,True
BANK-T0017,HDFC Bank,62458.21,2026-07-16,INV-T0017,84.0,24.0,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 15759.40.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0019,Oracle,18984.27,2026-07-19,INV-T0019,84.0,25.5,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 61571.62.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0022,Adobe,65015.98,2026-07-27,INV-T0021,56.25,9.39,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 11892.35.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0023,Infosys,60672.82,2026-07-27,INV-T0075,69.0,10.5,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 13288.44.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0035,Meta,24864.48,2026-07-09,INV-T0035,75.0,20.75,VENDOR_MISMATCH,LOW,"Exact match on amount ($24,864.48) and date (2026-07-09). The minor score reduction is due solely to a slight vendor name variation between 'Meta' and 'Meta Platforms'.",Approve reconciliation and update vendor master data to map 'Meta' as an alias for 'Meta Platforms'.,APPROVE,True
BANK-T0052,Deloitte,29142.97,2026-07-20,INV-T0052,60.0,1.5,PARTIAL_PAYMENT,MEDIUM,"Bank payment is 29142.97, while invoice value is 62736.83.",Check whether the remaining invoice balance is still outstanding.,,False
BANK-T0053,MS,67461.27,2026-07-12,INV-T0053,71.36,23.18,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 42596.79.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0056,HDFC Bank,50830.67,2026-07-31,INV-T0056,84.0,19.0,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 4131.86.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0059,TCS,52566.97,2026-07-28,INV-T0059,69.21,14.209999999999994,MISSING_INVOICE,HIGH,No sufficiently similar invoice was found.,Verify whether the invoice exists outside the reconciliation system.,,False
BANK-T0064,HDFC,56013.59,2026-07-22,INV-T0064,82.69,23.69,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 9314.78.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0065,Accenture,41513.99,2026-07-20,INV-T0020,56.25,0.0,PARTIAL_PAYMENT,MEDIUM,"Bank payment is 41513.99, while invoice value is 87503.22.",Check whether the remaining invoice balance is still outstanding.,,False
BANK-T0066,Amazon Web Services,60611.59,2026-07-12,INV-T0066,100.0,3.5,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 39560.06.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0070,Amazon AWS,60390.16,2026-07-14,INV-T0070,91.0,3.5,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 39338.63.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0072,IBM,35789.67,2026-07-12,INV-T0048,96.5,2.5,PARTIAL_PAYMENT,MEDIUM,"Bank payment is 35789.67, while invoice value is 44984.68.",Check whether the remaining invoice balance is still outstanding.,,False
BANK-T0077,Axis Bank,32855.65,2026-07-22,INV-T0077,60.0,3.75,PARTIAL_PAYMENT,MEDIUM,"Bank payment is 32855.65, while invoice value is 75842.93.",Check whether the remaining invoice balance is still outstanding.,,False
BANK-T0079,MS,23489.35,2026-07-08,INV-T0079,71.36,39.86,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 1375.13.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0089,HDFC Bank,50710.28,2026-07-22,INV-T0056,75.0,1.0,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 4011.47.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0092,Accenture,56066.16,2026-07-30,INV-T0092,84.0,24.0,PARTIAL_PAYMENT,MEDIUM,"Bank payment is 56066.16, while invoice value is 87503.22.",Check whether the remaining invoice balance is still outstanding.,,False
BANK-T0094,Accenture,89219.27,2026-07-11,INV-T0020,79.0,19.0,DATE_MISMATCH,LOW,Bank and invoice dates differ by 14 days.,Check settlement date versus invoice/document date.,,False
BANK-T0095,Microsoft,51598.78,2026-07-25,INV-T0010,80.25,11.25,AMOUNT_MISMATCH,MEDIUM,"Bank payment ($51,598.78) exceeds invoice amount ($49,273.99) by $2,324.79, and the payment date (2026-07-25) precedes the invoice date (2026-07-28).","Investigate whether the bank transaction covers additional invoices, taxes/fees, or an overpayment, and request supporting billing documentation from Microsoft.",REVIEW,True
BANK-T0097,Tata Consultancy Services,2630.31,2026-07-12,INV-T0097,84.0,33.0,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 92144.48.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0098,Accenture,30475.31,2026-07-16,INV-T0098,60.0,1.5,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 57027.91.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
BANK-T0099,Meta,76924.51,2026-07-01,INV-T0099,75.0,27.15,AMOUNT_MISMATCH,HIGH,Payment differs from invoice by 52060.03.,"Verify invoice amount, payment amount and possible fees or adjustments.",,False
